age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
*,Unknown,*,Not-Married,Unknown,Not-in-family,White,Male,None,None,*,United-States,<=50K
*,Working,*,Married,White-Collar,Wife,White,Female,None,Some,*,United-States,>50K
*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,Working,*,Not-Married,Blue-Collar,Not-in-family,White,Male,None,None,*,United-States,>50K
*,Working,*,Married,White-Collar,Husband,White,Male,Some,None,*,United-States,>50K
*,Working,*,Not-Married,Blue-Collar,Own-child,White,Male,None,None,*,United-States,<=50K
*,Working,*,Not-Married,White-Collar,Not-in-family,White,Female,None,None,*,United-States,<=50K
*,Working,*,Married,White-Collar,Husband,White,Male,None,None,*,United-States,>50K
*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,Working,*,Not-Married,Blue-Collar,Own-child,Non-White,Male,None,None,*,Foreign,<=50K
*,Working,*,Married,Service,Husband,White,Male,None,None,*,United-States,<=50K
*,Working,*,Not-Married,White-Collar,Unmarried,White,Female,None,None,*,United-States,<=50K
*,Working,*,Married,White-Collar,Husband,White,Male,None,None,*,United-States,>50K
*,Working,*,Not-Married,Blue-Collar,Own-child,White,Male,None,None,*,Foreign,<=50K
*,Working,*,Married,Blue-Collar,Husband,White,Male,None,None,*,United-States,<=50K
*,Working,*,Not-Married,White-Collar,Not-in-family,Non-White,Male,None,None,*,United-States,<=50K
*,Working,*,Married,White-Collar,Husband,White,Male,None,None,*,United-States,>50K
*,Unknown,*,Not-Married,Unknown,Not-in-family,Non-White,Male,None,None,*,United-States,<=50K
*,Unknown,*,Not-Married,Unknown,Own-child,Non-White,Female,None,None,*,United-States,<=50K
*,Working,*,Not-Married,White-Collar,Own-child,White,Male,None,None,*,United-States,<=50K
*,Working,*,Not-Married,Service,Not-in-family,White,Male,None,None,*,United-States,<=50K
*,Working,*,Married,White-Collar,Wife,Non-White,Female,None,None,*,United-States,<=50K
*,Working,*,Married,Blue-Collar,Husband,White,Male,None,None,*,United-States,<=50K
*,Working,*,Not-Married,White-Collar,Unmarried,Non-White,Female,None,None,*,United-States,<=50K
*,Working,*,Married,White-Collar,Wife,White,Female,None,None,*,United-States,>50K
*,Working,*,Not-Married,White-Collar,Not-in-family,White,Female,None,None,*,United-States,<=50K
*,Working,*,Married,Blue-Collar,Husband,White,Male,None,None,*,United-States,<=50K
*,Working,*,Married,Blue-Collar,Husband,White,Male,None,None,*,United-States,<=50K
*,Working,*,Married,White-Collar,Husband,White,Male,None,None,*,United-States,>50K
*,Working,*,Not-Married,Blue-Collar,Not-in-family,White,Female,None,None,*,United-States,<=50K
*,Working,*,Not-Married,Blue-Collar,Own-child,Non-White,Female,None,None,*,United-States,<=50K
*,Working,*,Not-Married,Blue-Collar,Unmarried,White,Female,None,None,*,Foreign,<=50K
*,Working,*,Not-Married,White-Collar,Unmarried,White,Female,None,None,*,United-States,<=50K
*,Working,*,Married,Blue-Collar,Husband,White,Male,Some,None,*,United-States,<=50K
