age,job,marital,education,default,balance,housing,loan,y
*,*,*,*,*,*,*,*,no
Adult,White-Collar,married,primary,no,Low,yes,no,no
Adult,White-Collar,married,tertiary,no,Low,yes,no,yes
Adult,Blue-Collar,single,secondary,no,Low,no,yes,yes
Adult,Self-Employed,married,secondary,no,Low,no,yes,no
Adult,Blue-Collar,married,primary,no,Low,no,yes,no
Adult,White-Collar,married,secondary,no,Low,yes,no,no
Adult,White-Collar,divorced,tertiary,no,Low,yes,no,no
Adult,White-Collar,single,tertiary,no,Low,no,no,no
Adult,White-Collar,single,secondary,no,Medium,no,no,yes
Adult,Blue-Collar,single,secondary,no,Low,no,no,no
Adult,Blue-Collar,divorced,secondary,no,Low,yes,yes,no
Adult,White-Collar,single,tertiary,no,Low,yes,no,no
Adult,Blue-Collar,single,secondary,no,Low,yes,yes,no
Adult,White-Collar,married,tertiary,no,Low,no,no,no
Adult,White-Collar,married,secondary,no,Low,no,yes,no
*,*,*,*,*,*,*,*,no
Adult,White-Collar,married,tertiary,no,Low,yes,yes,no
Adult,Blue-Collar,married,secondary,no,Negative,yes,no,no
Adult,White-Collar,divorced,secondary,no,Low,no,no,no
Adult,White-Collar,single,tertiary,no,Medium,no,no,yes
Adult,White-Collar,single,secondary,no,Negative,yes,yes,no
*,*,*,*,*,*,*,*,no
Adult,White-Collar,single,secondary,no,Low,yes,no,no
Adult,White-Collar,married,tertiary,no,Low,yes,no,no
Adult,Blue-Collar,divorced,secondary,no,Medium,yes,no,no
Adult,Blue-Collar,divorced,secondary,no,Low,yes,no,no
Adult,White-Collar,single,tertiary,no,Low,no,no,no
Adult,White-Collar,married,tertiary,no,Low,yes,yes,no
Adult,White-Collar,married,tertiary,no,Medium,no,yes,no
Adult,White-Collar,married,tertiary,no,Medium,yes,no,no
Young,Not-Working,single,secondary,no,Low,yes,no,no
Adult,Blue-Collar,married,secondary,no,Low,no,no,no
Adult,Blue-Collar,married,secondary,no,Negative,yes,yes,no
Adult,Blue-Collar,married,secondary,no,Medium,yes,no,no
Adult,Self-Employed,married,secondary,no,Low,no,no,yes
Adult,White-Collar,single,secondary,no,Low,yes,no,yes
*,*,*,*,*,*,*,*,yes
Young,Blue-Collar,single,secondary,no,Low,no,no,no
Adult,White-Collar,married,secondary,no,High,yes,no,no
Young,White-Collar,single,tertiary,no,Low,no,no,no
Adult,Blue-Collar,married,secondary,no,Medium,no,no,no
Adult,Blue-Collar,divorced,primary,no,Low,yes,no,no
Adult,White-Collar,married,secondary,no,Low,no,no,no
*,*,*,*,*,*,*,*,no
Adult,White-Collar,married,secondary,no,Medium,no,no,no
Adult,Self-Employed,divorced,tertiary,no,Low,no,no,no
Young,White-Collar,single,tertiary,no,Low,no,no,no
Adult,Blue-Collar,married,secondary,no,Low,yes,yes,no
Adult,White-Collar,single,tertiary,no,Low,no,no,no
Adult,White-Collar,single,tertiary,no,Low,yes,no,no
Adult,White-Collar,married,secondary,no,Medium,no,no,yes
Adult,White-Collar,divorced,tertiary,no,High,yes,no,yes
Adult,White-Collar,married,tertiary,no,Low,yes,no,no
Adult,Blue-Collar,married,secondary,no,Low,yes,yes,no
Adult,Blue-Collar,divorced,primary,no,Negative,yes,no,no
Adult,Blue-Collar,married,secondary,no,Medium,no,no,no
Adult,White-Collar,married,secondary,no,Medium,yes,no,no
Adult,White-Collar,married,secondary,no,Low,no,no,yes
Adult,Blue-Collar,married,primary,no,Medium,yes,no,no
*,*,*,*,*,*,*,*,no
Adult,White-Collar,single,secondary,no,Low,no,no,no
Adult,White-Collar,married,secondary,yes,Negative,yes,no,no
Adult,White-Collar,single,tertiary,no,Medium,yes,no,no
Adult,White-Collar,single,tertiary,no,Medium,yes,no,yes
Adult,White-Collar,single,secondary,no,Low,no,no,no
Adult,Not-Working,single,Unknown,no,Medium,yes,no,no
Adult,White-Collar,married,tertiary,no,Medium,yes,yes,no
Adult,White-Collar,married,secondary,no,Low,yes,no,no
Adult,White-Collar,married,tertiary,no,Low,no,no,no
Adult,White-Collar,married,tertiary,no,Medium,no,no,no
Adult,White-Collar,married,secondary,no,Medium,no,yes,no
Adult,Not-Working,single,tertiary,no,Low,yes,no,no
Adult,White-Collar,single,secondary,no,Low,yes,no,no
Adult,Blue-Collar,married,Unknown,no,Low,yes,no,no
